State,Population,Value
New Jersey,8791,1006
Rhode Island,1052,203
Massachusetts,6547,1979
Connecticut,3574,5491
Maryland,5773,1772
New York,19378,2738
Delaware,897,381
Florida,18801,3676
Ohio,11536,227
Pennsylvania,12702,10940
Illinois,12830,3387
California,37254,10545
Hawaii,1360,2221
Virginia,8001,327
Michigan,9883,655
Indiana,6483,782
North Carolina,9535,638
Georgia,9687,1012
Tennessee,6346,1163
New Hampshire,1316,722
South Carolina,4625,1634
Louisiana,4533,782
Kentucky,4339,2092
Wisconsin,5686,9579
Washington,6724,1882
Alabama,4779,2453
Missouri,5988,1523
Texas,25145,6128
West Virginia,1852,1214
Vermont,625,404
Minnesota,5303,2220
Mississippi,2967,1292
Iowa,3046,929
Arkansas,2915,154
Oklahoma,3751,237
Arizona,6392,8726
Colorado,5029,1321
Maine,1328,2232
Oregon,3831,1833
Kansas,2853,1201
Utah,2763,988
Nebraska,1826,430
Nevada,2700,5516
Idaho,1567,1171
New Mexico,2059,1007
South Dakota,814,2081
North Dakota,672,650
Montana,989,961
Wyoming,563,725
Alaska,710,1563
