Country,Cases,Deaths
United States,113690 ,"3,433["
Brazil,58178 ,"2,135["
India,33783 ,"2,024["
Mexico,70715 ,1316 
China (mainland),120940 ,800 
Turkey,12316 ,656 
Argentina,11458 ,626 
Russia,25339 ,604 
United Kingdom,28456 ,474 
Canada,(25828),429 
France,1980000 ,344 
Spain,(1538),300 
Egypt,15812 ,278 
Germany,(222360),258 
South Korea,107939 ,250 
Thailand,31902 ,249 
Italy,3064933 ,244 
Colombia,152560 ,243 
Peru,9165 ,223 
Ukraine,494 ,213 
Ecuador,2251 ,200 
Japan,11636 ,198 
Australia,37484 ,187 
Poland,(2024),181 
Chile,12258 ,156 
Syria,(452),152 
Greece,(17977),149 
Iran,3672 ,147[
Venezuela,2187 ,135 
Hungary,(283),134 
Saudi Arabia,14500 ,128 
Portugal,(166922),122 
Romania,7006 ,122 
Czech Republic,2445 ,102 
Israel,4330 ,94 
South Africa,12640 ,93[
Malaysia,12210 ,92 
Belarus,102 ,88 
Serbia,695 ,83 
Hong Kong,33109 ,80 
Cuba,973 ,69 
Costa Rica,(1867),67 
Morocco,2890 ,64 
Netherlands,(1473),62 
Bolivia,2310 ,59[
Vietnam,11186 ,58 
Algeria,916 ,57[
Finland,6122 ,56 
Slovakia,955 ,56 
Paraguay,855 ,54 
New Zealand,(3199),50 
Taiwan,(5474),48 
Sri Lanka,642 ,48 
Moldova,2524 ,46 
Palestinian Territories,1676 ,43 
Iraq,2880 ,42[
Austria,964 ,40 
Bulgaria,766 ,40 
